Occupation Title,,Median Annual Wage 2018,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Typical on-the-job Training
Statistical assistants    * Actuarial Assistant* Actuary Clerk* Data Analysis Assistant* Statistical Clerk* Tariff Compiling Clerk,,"48,330",Bachelor's degree,3,None,None
Statisticians    * Analytical Statistician* Applied Statistician* Biometrician* Biostatistician* Environmental Statistician* Mathematical Statistician* Research Biostatistician* Sampling Expert* Statistical Analyst* Statistical Reporting Analyst* Statistician* Survey Statistician* Time Study Statistician,,"87,780",Master's degree,2,None,None
Stock clerks and order fillers    * Grocery Stocker* Inventory Control Clerk* Inventory Taker* Night Stocker* Retail Stocker* Stockroom Attendant* Stockroom Clerk* Store Stocker* Supply Clerk* Supply Room Clerk* Tool Crib Attendant* Warehouse Clerk* Warehouse Stocker,,"25,700",High school diploma or equivalent,7,None,Short-term on-the-job training
Stonemasons    * Banker Mason* Curbstone Setter* Granite Setter* Memorial Mason* Monument Mason* Rock Mason* Stone Chimney Mason* Stone Layer* Stonemason,,"41,220",High school diploma or equivalent,7,None,Apprenticeship
Structural iron and steel workers    * Bridge Ironworker* Construction Ironworker* Iron Guardrail Installer* Metal Tank Erector* Ornamental Ironworker* Pre-Engineered Metal Building Ironworker* Precast Concrete Ironworker* Steel Fabricator* Steel Fitter* Structural Steel Erector* Wind Turbine Erector,,"53,970",High school diploma or equivalent,7,None,Apprenticeship
Structural metal fabricators and fitters    * Mill Beam Fitter* Protector Plate Attacher,,"39,290",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Substance abuse, behavioral disorder, and mental health counselors",,"44,630",Bachelor's degree,3,None,None
Substitute teachers,,"28,680",Bachelor's degree,3,None,None
Subway and streetcar operators    * Light Rail Operator* Light Rail Transit Operator* Light Rail Vehicle Operator* Rapid Transit Operator* Subway Conductor* Subway Train Operator* Tram Operator* Trolley Car Operator,,"68,170",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Surgeons    * Brain Surgeon* Cardiac Surgeon* Cardiovascular Surgeon* Colorectal Surgeon* Neurological Surgeon* Neurosurgeon* Orthopaedic Surgeon* Orthopedic Surgeon* Plastic Surgeon* Reconstructive Surgeon* Surgical Oncologist* Thoracic Surgeon* Vascular Surgeon,,">=208,000",Doctoral or professional degree,1,None,Internship/residency
Surgical technologists    * Certified Surgical Technologist* OR Tech* Operating Room Technician* Surgical First Assistant* Surgical Scrub Technologist* Surgical Technologist,,"47,300",Postsecondary nondegree award,5,None,None
Survey researchers    * Pollster* Survey Methodologist* Survey Questionnaire Designer* Survey Researcher,,"57,700",Master's degree,2,None,None
Surveying and mapping technicians    * Cartographic Aide* Cartographic Technician* Field Map Technician* GIS Mapping Technician* Geophysical Prospecting Surveying Technician* Mapping Technician* Mineral Surveying Technician* Surveying Technician* Topography Technician,,"44,380",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Surveyors    * City Surveyor* County Surveyor* Geodetic Surveyor* Geophysical Prospecting Surveyor* Land Surveyor* Mine Surveyor* Mineral Surveyor* Registered Land Surveyor* Topographical Surveyor,,"62,580",Bachelor's degree,3,None,Internship/residency
"Switchboard operators, including answering service    * PBX Operator* Private Branch Exchange Operator* Telephone Answering Service Operator* Telephone Switchboard Operator",,"29,420",High school diploma or equivalent,7,None,Short-term on-the-job training
"Tailors, dressmakers, and custom sewers    * Alterations Sewer* Alterations Tailor* Bridal Gown Fitter* Coat Cutter* Coat Maker* Couture Dressmaker* Dress Fitter* Fur Tailor* Garment Fitter* Suit Maker* Vest Maker",,"31,000",No formal educational credential,8,None,Moderate-term on-the-job training
"Tank car, truck, and ship loaders    * Barge Loader* Bulk Tank Car Unloader* Dock Loader* Rail Car Loader* Rail Loader* Ship Unloader* Tank Car Loader* Tank Truck Loader",,"38,220",No formal educational credential,8,None,Short-term on-the-job training
Tapers    * Drywall Taper* Sheet Rock Taper* Wall Taper,,"55,080",No formal educational credential,8,None,Moderate-term on-the-job training
"Tax examiners and collectors, and revenue agents    * City Collector* Customs Appraiser* Income Tax Adjuster* Internal Revenue Agent* Internal Revenue Service Agent* Revenue Collector* Revenue Enforcement Agent* Tax Compliance Officer* Tax Compliance Representative* Tax Examiner* Tax Investigator* Tax Revenue Officer",,"54,440",Bachelor's degree,3,None,Moderate-term on-the-job training
Tax preparers    * Corporate Tax Preparer* Income Tax Advisor* Income Tax Preparer* Licensed Tax Consultant* Tax Consultant* Tax Specialist,,"39,390",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Taxi drivers and chauffeurs    * Cab Driver* Courtesy Car Driver* Courtesy Van Driver* Funeral Car Driver* Hearse Driver* Limousine Driver* Livery Car Driver* Shuttle Bus Driver,,"25,980",No formal educational credential,8,None,Short-term on-the-job training
Teacher assistants    * Basic Skills Improvement Program Instructional Aide* Classroom Aide* Educational Assistant Teacher* Gifted and Talented Student Education Aide* Instructional Aide* Instructional Assistant* Learning Support Aide* Paraeducator* Public Health Training Assistant* Reading Aide* Special Education Aide* Special Education Classroom Aide* Special Education Instructional Assistant* Special Education Paraeducator* Special Education Paraprofessional* Special Education Teaching Assistant* Teacher Aide,,"26,970","Some college, no degree",6,None,None
"Teachers and instructors, all other, except substitute teachers",,"39,540",Bachelor's degree,3,None,None
Technical writers    * Assembly Instructions Writer* Documentation Writer* Engineering Writer* Handbook Writer* Medical Writer* Specifications Writer* Technical Communicator* Technical Writer,,"71,850",Bachelor's degree,3,Less than 5 years,Short-term on-the-job training
"Telecommunications equipment installers and repairers, except line installers    * Communications Equipment Installer* Fiber Optic Central Office Installer* Headend Technician* Private Branch Exchange (PBX ) Installer and Repairer* Switchboard Wirer* Telecommunications Switch Technician",,"56,100",Postsecondary nondegree award,5,None,Moderate-term on-the-job training
Telecommunications line installers and repairers    * Cable Television Installer* FIOS Line Installer* Fiber Optic Technician* Telecommunication Lines Repairer* Telecommunications Line Installer* Telephone Cable Splicer* Telephone Lines Repairer* Telephone Lineworker,,"58,280",High school diploma or equivalent,7,None,Long-term on-the-job training
Telemarketers    * Inbound Telemarketer* Outbound Telemarketer* Telemarketer* Telemarketing Sales Representative* Telephone Solicitor* Telesales Representative* Telesales Specialist,,"25,250",No formal educational credential,8,None,Short-term on-the-job training
Telephone operators    * 411 Directory Assistance Operator* Directory Assistance Operator* Information Operator* Local Telephone Operator* Long Distance Operator* Telephone Exchange Operator,,"37,240",High school diploma or equivalent,7,None,Short-term on-the-job training
Tellers    * Bank Teller* Commercial Teller* Exchange Teller* Foreign Banknote Teller* Foreign Exchange Clerk* Loan Teller* Money Order Clerk* Receiving Teller* Savings Teller* Securities Teller,,"29,450",High school diploma or equivalent,7,None,Short-term on-the-job training
Terrazzo workers and finishers    * Granite-Chip Terrazzo  Finisher* Marble-Chip Terrazzo Worker* Onyx-Chip Terrazzo Worker* Rustic Terrazzo Setter* Terrazzo Finisher* Terrazzo Grinder* Terrazzo Installer* Terrazzo Layer* Terrazzo Setter* Terrazzo Worker,,"42,500",High school diploma or equivalent,7,None,Apprenticeship
Textile bleaching and dyeing machine operators and tenders    * Cloth Dyer* Dye Range Operator* Rug Dyer* Skein Yarn Dyer* Yarn Dyer,,"28,780",High school diploma or equivalent,7,None,Short-term on-the-job training
"Textile cutting machine setters, operators, and tenders    * Bedspread Cutter* Canvas Cutter* Cloth Cutter* Industrial Fabric Cutter* Textile Slitting Machine Operator* Twill Cutter* Upholstery Cutter* Welt Trimming Machine Operator",,"28,220",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Textile knitting and weaving machine setters, operators, and tenders    * Crochet Machine Operator* Jacquard Loom Weaver* Knitter Operator* Knitting Machine Operator* Loom Operator* Looping Machine Operator* Warp Knitting Machine Operator",,"29,160",High school diploma or equivalent,7,None,Short-term on-the-job training
"Textile winding, twisting, and drawing out machine setters, operators, and tenders    * Rope Machine Setter* Roving Winder* Silk Winding Machine Operator* Twister Operator* Winder Operator",,"28,920",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers, all other    * Apparel Embroidery Digitizer* Feltmaker* Hat Blocking Machine Operator* Swatch Maker* Tassel Making Machine Operator",,"27,750",High school diploma or equivalent,7,None,Short-term on-the-job training
"Therapists, all other    * Art Therapist* Auriculotherapist* Educational Therapist* Hydrotherapist* Music Therapist* Peripatologist",,"50,980",Bachelor's degree,3,None,None
Tile and marble setters    * Ceramic Tile Installer* Hard Tile Setter* Marble Ceiling Installer* Parquet Floor Layer* Tile Installer* Tile Mason* Wood Tile Installer,,"41,840",No formal educational credential,8,None,Long-term on-the-job training
Timing device assemblers and adjusters    * Digital Watch Assembler* Electrical Timing Device Calibrator* Marine Chronometer Assembler* Time Stamp Assembler,,"34,650",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Tire builders    * Auto Tire Recapper* Retreader* Tire Finisher* Tire Molder* Tire Retreader,,"46,630",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Tire repairers and changers    * Auto Tire Worker* Tire Balancer* Tire Fixer* Tire Mechanic* Tire Mounter* Tire Servicer* Tire Technician,,"27,890",High school diploma or equivalent,7,None,Short-term on-the-job training
"Title examiners, abstractors, and searchers    * Abstract Searcher* Abstract Writer* Advisory Title Officer* Escrow Officer* Land Title Examiner* Lease Examiner* Lien Searcher* Title Agent* Title Checker* Title Examiner* Title Inspector* Title Investigator* Title Officer* Title Searcher",,"47,130",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Tool and die makers    * Jig Bore Tool Maker* Metal Die Finisher* Metal Gauge Maker* Plastic Die Maker Apprentice* Tool Maker* Toolmaker,,"52,750",Postsecondary nondegree award,5,None,Long-term on-the-job training
"Tool grinders, filers, and sharpeners    * Tool Grinder* Tool Grinding Machine Operator* Tool Sharpener* Tool Straightener",,"38,140",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Tour and travel guides,,"26,570",High school diploma or equivalent,7,None,Moderate-term on-the-job training
